t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
375873,3.6000001430511475,40.29677963256836,6.129356384277344,0.0,0.0
375882,3.9000000953674316,35.148380279541016,6.129356384277344,0.0,0.0
375893,4.199999809265137,32.57418441772461,6.129356384277344,0.0,0.0
375902,4.5,31.287105560302734,6.129356384277344,0.0,0.0
375913,4.799999713897705,30.643543243408203,6.129356384277344,0.0,0.0
375923,5.09999942779541,30.32176399230957,6.129356384277344,0.0,0.0
375933,5.399999618530273,30.16089630126953,6.129356384277344,0.0,0.0
375943,5.699999809265137,30.080440521240234,6.129356384277344,0.0,0.0
375953,5.849999904632568,22.54021453857422,6.129356384277344,0.0,0.0
375963,6.0,18.770124435424805,6.129356384277344,0.0,0.0
375973,6.300000190734863,24.385055541992188,6.129356384277344,0.0,0.0
375982,6.450000286102295,19.692523956298828,6.129356384277344,0.0,0.0
375993,6.59999942779541,17.34625816345215,6.129356384277344,0.0,0.0
376002,6.59999942779541,8.673129081726074,6.129356384277344,0.0,0.0
376013,6.750000476837158,11.836580276489258,6.129356384277344,0.0,0.0
376023,6.750000476837158,5.918290138244629,6.129356384277344,0.0,0.0
376033,6.750000476837158,2.9591450691223145,6.129356384277344,0.0,0.0
376043,6.750000476837158,1.4795725345611572,6.129356384277344,0.0,0.0
376053,6.750000476837158,0.7397862672805786,6.129356384277344,0.0,0.0
376063,6.750000476837158,0.3698931336402893,6.129356384277344,0.0,0.0
376073,6.59999942779541,-7.315071105957031,6.129356384277344,0.0,0.0
376082,6.59999942779541,-3.6575355529785156,6.129356384277344,0.0,0.0
376093,6.450000286102295,-9.328763008117676,6.129356384277344,0.0,0.0
376102,6.300000190734863,-12.164377212524414,6.129356384277344,0.0,0.0
376113,6.150000095367432,-13.582184791564941,6.129356384277344,0.0,0.0
376123,6.0,-14.291088104248047,6.129356384277344,0.0,0.0
376133,5.699999809265137,-22.145559310913086,6.129356384277344,0.0,0.0
376143,5.549999713897705,-18.57277488708496,6.129356384277344,0.0,0.0
376153,5.250000476837158,-24.286380767822266,6.129356384277344,0.0,0.0
376163,4.949999809265137,-27.143203735351562,6.129356384277344,0.0,0.0
376173,4.650000095367432,-28.571592330932617,6.129356384277344,0.0,0.0
376182,4.350000381469727,-29.285789489746094,6.129356384277344,0.0,0.0
376193,4.049999713897705,-29.64291000366211,6.129356384277344,0.0,0.0
376202,3.75,-29.82144546508789,6.129356384277344,0.0,0.0
376213,3.299999713897705,-37.41073226928711,6.129356384277344,0.0,0.0
376223,3.0,-33.70535659790039,6.129356384277344,0.0,0.0
376233,2.6999998092651367,-31.85268211364746,6.129356384277344,0.0,0.0
376243,2.25,-38.42634201049805,6.129356384277344,0.0,0.0
376253,1.8000000715255737,-41.713165283203125,6.129356384277344,0.0,0.0
376263,1.5,-35.85658645629883,6.129356384277344,0.0,0.0
376273,1.0499999523162842,-40.42829895019531,6.129356384277344,0.0,0.0
376282,0.75,-35.21414566040039,6.129356384277344,0.0,0.0
376293,0.29999998211860657,-40.10707473754883,6.129356384277344,0.0,0.0
376302,359.8499755859375,-42.554412841796875,6.129356384277344,0.0,0.0
376313,359.3999938964844,-43.777217864990234,6.129356384277344,0.0,0.0
376323,359.10003662109375,-36.88770294189453,6.129356384277344,0.0,0.0
376333,358.6499938964844,-40.94386291503906,6.129356384277344,0.0,0.0
376343,358.20001220703125,-42.97194290161133,6.129356384277344,0.0,0.0
