t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
10700,316.5,-84.70600891113281,-5.503350257873535,45.55875778198242,12.0,-0.054945945739746094
10711,315.75,-79.85347747802734,-4.9736528396606445,49.26425552368164,12.0,-0.06959819793701172
10721,315.4499816894531,-54.92720031738281,-4.492109775543213,48.709293365478516,12.0,0.0036630630493164062
10731,315.1499938964844,-42.46269607543945,-4.010566711425781,48.43179702758789,12.0,-0.054945945739746094
10741,314.8500061035156,-36.2318115234375,-3.5290234088897705,48.293067932128906,12.0,0.0036630630493164062
10751,315.0,-10.616357803344727,-3.0406010150909424,48.56764602661133,12.0,0.0036630630493164062
10761,315.1499938964844,2.192734956741333,-2.5590577125549316,48.360992431640625,12.0,-0.06959819793701172
10771,315.3000183105469,8.595914840698242,-2.0775146484375,48.25765609741211,-3.379757881164551,-0.04761981964111328
10781,315.75,26.79796600341797,-1.6303675174713135,46.48618698120117,-3.4726762771606445,-0.054945945739746094
10790,316.5,50.899452209472656,-1.3001666069030762,39.753143310546875,-4.006648063659668,-0.06959819793701172
10800,317.54998779296875,77.94929504394531,-0.9974822402000427,35.01078414916992,-5.806882381439209,-0.06959819793701172
10811,318.8999938964844,106.47467803955078,-0.742952287197113,30.231889724731445,-7.051177978515625,-0.054945945739746094
10821,320.3999938964844,128.23690795898438,-0.5847309827804565,23.02701187133789,-8.259476661682129,-0.06959819793701172
10831,322.3500061035156,161.61940002441406,-0.48842233419418335,16.328937530517578,-10.109209060668945,0.0036630630493164062
10841,324.29998779296875,178.30929565429688,-0.45402640104293823,9.884264945983887,-11.683981895446777,-0.054945945739746094
10851,326.54998779296875,201.65469360351562,-0.48842233419418335,3.2223358154296875,-12.0,-0.054945945739746094
10861,329.25,235.82740783691406,-0.5709725618362427,-2.5163440704345703,-12.0,-0.04761981964111328
10871,331.95001220703125,252.91375732421875,-0.7085563540458679,-8.137360572814941,-12.0,-0.06959819793701172
10881,334.79998779296875,268.95648193359375,-0.8874152898788452,-13.011627197265625,-12.0,-0.04761981964111328
10890,337.6500244140625,276.9778137207031,-1.093790888786316,-16.824594497680664,-12.0,-0.04761981964111328
10900,340.79998779296875,295.9889831542969,-1.355199933052063,-21.48275375366211,-12.0,-0.04029369354248047
