t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
47782,337.79998779296875,-40.032012939453125,-17.782699584960938,6.136600079795404e-32,0.0
47793,337.5,-35.0164680480957,-17.782699584960938,3.068300039897702e-32,0.0
47802,337.3500061035156,-25.007781982421875,-17.782699584960938,1.534150019948851e-32,0.0
47813,337.1999816894531,-20.004804611206055,-17.782699584960938,7.670750099744255e-33,0.0
47823,337.1999816894531,-10.002402305603027,-17.782699584960938,3.8353750498721277e-33,0.0
47833,337.1999816894531,-5.001201152801514,-17.782699584960938,1.9176875249360638e-33,0.0
47843,337.3500061035156,5.0003132820129395,-17.782699584960938,9.588437624680319e-34,0.0
47853,337.6500244140625,17.499252319335938,-17.782699584960938,4.7942188123401596e-34,0.0
47863,337.95001220703125,23.750085830688477,-17.782699584960938,2.3971094061700798e-34,0.0
47873,338.4000244140625,34.37504959106445,-17.782699584960938,1.1985547030850399e-34,0.0
47882,338.70001220703125,32.18798828125,-17.782699584960938,5.992773515425199e-35,0.0
47893,339.29998779296875,46.09355163574219,-17.782699584960938,2.9963867577125997e-35,0.0
47902,339.89996337890625,53.046329498291016,-17.782699584960938,1.4981933788562999e-35,0.0
47913,340.6500244140625,64.02364349365234,-17.782699584960938,7.490966894281499e-36,0.0
47923,341.4000244140625,69.51229095458984,-17.782699584960938,3.7454834471407497e-36,0.0
47933,342.3000183105469,79.75616455078125,-17.782699584960938,1.8727417235703748e-36,0.0
47943,343.1999816894531,84.87809753417969,-17.782699584960938,9.363708617851874e-37,0.0
47953,344.1000061035156,87.43907165527344,-17.782699584960938,4.681854308925937e-37,0.0
47963,345.1499938964844,96.21910095214844,-17.782699584960938,2.3409280512939857e-37,0.0
47973,346.20001220703125,100.60912322998047,-17.782699584960938,1.1704640256469929e-37,0.0
47982,347.2499694824219,102.80412292480469,-17.782699584960938,5.852326854467593e-38,0.0
47993,348.6000061035156,118.90209197998047,-17.782699584960938,2.9261634272337965e-38,0.0
48002,349.6499938964844,111.95198059082031,-17.782699584960938,1.4630817136168983e-38,0.0
48013,351.0000305175781,123.47602844238281,-17.782699584960938,7.315338503161275e-39,0.0
48023,352.3500061035156,129.238037109375,-17.782699584960938,3.6576692515806375e-39,0.0
48033,353.70001220703125,132.11904907226562,-17.782699584960938,1.8288346257903188e-39,0.0
48043,354.8999938964844,126.05863952636719,-17.782699584960938,9.144873778183756e-40,0.0
48053,356.4000244140625,138.03025817871094,-17.782699584960938,4.572436889091878e-40,0.0
48063,357.75,136.51515197753906,-17.782699584960938,2.2869190937781015e-40,0.0
48073,359.10003662109375,135.75759887695312,-17.782699584960938,1.1434595468890507e-40,0.0
48082,0.29999998211860657,127.87879180908203,-17.782699584960938,5.717297734445254e-41,0.0
48093,1.8000000715255737,138.9394073486328,-17.782699584960938,2.858648867222627e-41,0.0
48102,3.0,129.46971130371094,-17.782699584960938,1.4293244336113134e-41,0.0
48113,4.5,139.73484802246094,-17.782699584960938,7.146622168056567e-42,0.0
48123,5.849999904632568,137.36741638183594,-17.782699584960938,3.6433760072445244e-42,0.0
48133,7.200000286102295,136.18373107910156,-17.782699584960938,1.8216880036222622e-42,0.0
48143,8.550000190734863,135.59185791015625,-17.782699584960938,8.407790785948902e-43,0.0
