t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
37431,350.2499694824219,-237.23202514648438,-14.30183219909668,30.977869033813477,12.0,0.8168497085571289
37441,347.8500061035156,-238.61561584472656,-13.937234878540039,33.71879196166992,12.0,0.8168497085571289
37451,345.29998779296875,-246.8083038330078,-13.558879852294922,35.777164459228516,12.0,0.8168497085571289
37461,342.8999938964844,-243.40374755859375,-13.159886360168457,37.8382568359375,12.0,0.8168497085571289
37471,340.6500244140625,-234.20191955566406,-12.747136116027832,39.556640625,12.0,0.8168497085571289
37481,338.4000244140625,-229.60101318359375,-12.327505111694336,40.75986099243164,12.0,0.8168497085571289
37491,336.1499938964844,-227.30055236816406,-11.894115447998047,42.04938507080078,12.0,0.8168497085571289
37500,334.20001220703125,-211.14987182617188,-11.495122909545898,40.97433090209961,12.0,0.8168497085571289
37511,331.79998779296875,-225.5758819580078,-11.00670051574707,44.908267974853516,12.0,0.8168497085571289
37521,329.6999816894531,-217.78707885742188,-10.545794486999512,45.49945068359375,12.0,0.8168497085571289
37531,327.75,-206.3944854736328,-10.091769218444824,45.45100784301758,12.0,0.8095235824584961
37541,325.9499816894531,-193.19728088378906,-9.623983383178711,46.114776611328125,12.0,0.8168497085571289
37551,324.1500244140625,-186.59732055664062,-9.149319648742676,46.79058074951172,12.0,0.8168497085571289
37561,322.6499938964844,-168.2996063232422,-8.681534767150879,46.78452682495117,12.0,0.8168497085571289
37571,321.1499938964844,-159.14938354492188,-8.199992179870605,47.46940994262695,12.0,0.8168497085571289
37581,319.79998779296875,-147.07470703125,-7.718449115753174,47.81185531616211,12.0,0.8168497085571289
37590,318.75,-126.03691864013672,-7.285059928894043,45.57537841796875,12.0,0.8095235824584961
37600,317.8500061035156,-108.01847839355469,-6.803516864776611,46.864837646484375,12.0,0.8168497085571289
37611,316.79998779296875,-106.51016998291016,-6.273819446563721,49.91729736328125,12.0,0.8168497085571289
37621,315.8999938964844,-98.2551040649414,-5.785397052764893,49.3797721862793,12.0,0.8168497085571289
37631,315.4499816894531,-71.6275634765625,-5.303853988647461,48.76705551147461,12.0,0.8168497085571289
37641,314.8500061035156,-65.81333923339844,-4.815431594848633,48.804630279541016,12.0,0.8168497085571289
37651,314.3999938964844,-55.40667724609375,-4.327009201049805,48.82343673706055,12.0,0.8168497085571289
37661,314.2500305175781,-35.20288848876953,-3.8385868072509766,48.83283996582031,12.0,0.8021974563598633
37671,314.2500305175781,-17.601444244384766,-3.3501644134521484,48.83754348754883,12.0,0.8168497085571289
37681,314.3999938964844,-1.3011741638183594,-2.8617420196533203,48.83988571166992,12.0,0.8168497085571289
37691,314.70001220703125,14.349874496459961,-2.366440534591675,49.185020446777344,12.0,0.8168497085571289
37700,315.1499938964844,29.674945831298828,-1.9192934036254883,46.94987106323242,-3.1947505474090576,0.8168497085571289
37711,315.75,44.83702850341797,-1.4308710098266602,47.89604949951172,-3.836909055709839,0.8168497085571289
37721,316.6499938964844,67.41853332519531,-1.0662740468978882,42.17787551879883,-3.6490225791931152,0.8168497085571289
